G;sum_ij W_ij s_i s_j;sum_ij W_ij;sum_ij W_ij(1-s_is_j);qpu_access_time (s);run_time (s)
1;-4072;19176;23248;0.042012;2.996555
2;-4064;19176;23240;0;2.997591
3;-4068;19176;23244;0.042016;2.99403
4;-4116;19176;23292;0.042015;2.999288
5;-4086;19176;23262;0.042015;2.999209
6;-4202;154;4356;0;2.999502
7;-4162;-150;4012;0.042015;2.999536
8;-4180;-170;4010;0.042014;3.000227
9;-4170;-64;4106;0;2.999914
10;-4160;-160;4000;0;2.996613
11;-1090;34;1124;0.04202;2.997802
12;-1112;-4;1108;0;2.997903
13;-1126;34;1160;0.042017;2.992035
14;-1422;4694;6116;0.042017;2.998329
15;-1429;4661;6090;0.042015;2.997233
16;-1422;4672;6094;0.04202;2.98962
17;-1419;4667;6086;0.042016;2.99601
18;-1912;64;1976;0.042014;2.981946
19;-1925;-113;1812;0.042013;2.988946
20;-1928;-46;1882;0.042018;2.99982
21;-1923;-67;1856;0.042015;3.006367
22;-6712;19990;26702;0.08404;5.22244
23;-6664;19990;26654;0.042021;5.222111
24;-6670;19990;26660;0.084041;5.224822
25;-6678;19990;26668;0.084036;5.215164
26;-6654;19990;26644;0.084037;5.220463
27;-6708;-42;6666;0.084029;5.216145
28;-6686;-104;6582;0.084026;5.216595
29;-6710;80;6790;0.084035;5.216231
30;-6718;100;6818;0.084036;5.21448
31;-6690;-80;6610;0.042012;5.226492
32;-2774;22;2796;0.084044;5.222191
33;-2774;-30;2744;0.084032;5.215269
34;-2800;-48;2752;0.08404;5.22163
35;-3540;11778;15318;0.042012;5.223662
36;-3544;11766;15310;0.084034;5.206144
37;-3545;11785;15330;0.084032;5.223063
38;-3543;11779;15322;0.08403;5.21528
39;-4752;28;4780;0.084033;5.21796
40;-4872;-98;4774;0.084025;5.212083
41;-4789;-17;4772;0.126047;5.222146
42;-4807;121;4928;0.126054;5.220965
43;-3330;9990;13320;0.084026;2.988926
44;-3310;9990;13300;0.084025;2.999997
45;-3316;9990;13306;0.042017;2.991459
46;-3308;9990;13298;0.084032;2.991178
47;-3322;9990;13312;0.042017;2.992332
48;-6000;6000;12000;0.126043;7.504622
49;-6000;6000;12000;0.168078;7.498053
50;-5760;6000;11760;0.168063;7.499175
51;-1777;5909;7686;0.084034;2.990278
52;-1774;5916;7690;0.084041;2.994452
53;-1776;5914;7690;0.042018;2.997974
54;-1774;5916;7690;0.084022;2.998456
55;-8030;12498;20528;0.210097;14.587707
56;-8018;-54;7964;0.210097;14.584378
57;-6950;-38;6912;0.210095;14.585875
58;-8872;29570;38442;0.210088;14.58833
59;-11954;96;12050;0.168063;14.596066
60;-11136;17148;28284;0.252114;24.763318
61;-11138;362;11500;0.25211;24.748845
62;-9716;-80;9636;0.294104;24.742066
63;-12437;41459;53896;0.252097;24.748513
64;-16803;527;17330;0.2521;24.735946
65;-11070;-82;10988;0.252108;29.828338
66;-12484;80;12564;0.252099;34.923676
67;-13878;-142;13736;0.420162;39.983988
70;-9033;9999;19032;0.504197;40.0005
72;-13834;-6;13828;0.462172;39.982199
77;-19460;208;19668;0.714271;71.973771
81;-27722;34;27756;3.277283;120.022272
